,name,hometown,high school?,sport,college
0,Alex Olesinski,"Roswell, N.M.",La Lumiere School [IN],mens basketball,ucla
1,Moses Brown,"Queens, N.Y.",Archbishop Molloy HS,mens basketball,ucla
2,Cody Riley,"Kansas City, Kan.",Sierra Canyon HS [CA],mens basketball,ucla
3,Jules Bernard,"Los Angeles, Calif.",Windward School,mens basketball,ucla
4,Jaylen Hands,"San Diego, Calif.",Foothills Christian HS,mens basketball,ucla
5,Chris Smith,"Chicago, Ill.",Huntington Prep [WV],mens basketball,ucla
6,Tyger Campbell,"Cedar Rapids, Iowa",La Lumiere School [IN],mens basketball,ucla
7,Kris Wilkes,"Indianapolis, Ind.",North Central HS,mens basketball,ucla
8,Kenneth Nwuba,"Lagos, Nigeria",Huntington Prep [WV],mens basketball,ucla
9,Isaac Wulff,"Laguna Beach, Calif.",Laguna Beach HS,mens basketball,ucla
10,Armani Dodson,"Fontana, Calif.",Kaiser HS,mens basketball,ucla
11,Prince Ali,"The Bronx, N.Y.",The Sagemont School [FL],mens basketball,ucla
12,Jalen Hill,"Corona, Calif.",Centennial HS,mens basketball,ucla
13,Joseph Wallace,"Woodland Hills, Calif.",Sierra Canyon HS,mens basketball,ucla
14,David Singleton,"Los Angeles, Calif.",Bishop Montgomery HS,mens basketball,ucla
15,Chantel Horvat,"Geelong, Australia",Geelong College,womens basketball,ucla
16,Kayla Owens,"Houston, Texas",Langham Creek HS,womens basketball,ucla
17,Lindsey Corsaro,"Indianapolis, Ind.",Roncalli HS,womens basketball,ucla
18,Ally Rosenblum,"Newport Coast, Calif.",Mater Dei HS,womens basketball,ucla
19,Lajahna Drummer,"Inglewood, Calif.",Long Beach Poly,womens basketball,ucla
20,Michaela Onyenwere,"Aurora, Colo.",Grandview HS,womens basketball,ucla
21,Kennedy Burke,"Northridge, Calif.",Sierra Canyon School,womens basketball,ucla
22,Japreece Dean,"Austin, Texas",Vista Ridge HS,womens basketball,ucla
23,Chrissy Baird,"Wheaton, Ill.",Wheaton North,womens basketball,ucla
24,Lauryn Miller,"Kirkwood, Mo.",Kirkwood HS,womens basketball,ucla
25,Ryan Kreidler,"Davis, Calif.",Davis HS,baseball,ucla
26,Kevin Kendall,"La Mirada, Calif.",La Mirada HS,baseball,ucla
27,Garrett Mitchell,"Orange, Calif.",Orange Lutheran HS,baseball,ucla
28,Jack Stronach,"La Mesa, Calif.",Helix HS,baseball,ucla
29,Michael Toglia,"Gig Harbor, Wash.",Gig Harbor HS,baseball,ucla
30,Jarron Silva,"Stockton, Calif.",St. Mary's,baseball,ucla
31,RJ Teijeiro,"Foster City, Calif.",St. Francis HS,baseball,ucla
32,Sam Glick,"El Toro, Calif.",El Toro HS,baseball,ucla
33,Jon Olsen,"Rancho Cucamonga, Calif.",Damien HS,baseball,ucla
34,Justin Hooper,"San Ramon, Calif.",De La Salle HS,baseball,ucla
35,Jake Bird,"Valencia, Calif.",West Ranch HS,baseball,ucla
36,Will McInerny,"Laguna Beach, Calif.",Laguna Beach HS,baseball,ucla
37,Kyle Cuellar,"Arcadia, Calif.",La Salle HS,baseball,ucla
38,Jeremy Ydens,"Campbell, Calif.",St. Francis HS,baseball,ucla
39,Jack Ralston,"Newhall, Calif.",Hart HS,baseball,ucla
