,name,hometown,high school?,sport,college
0,Bitumba Baruti,N/A,N/A,mens basketball,washington
1,David Crisp,"Tacoma, Wash.",Brewster Academy (N.H.),mens basketball,washington
2,Dan Kingma,"Mill Creek, Wash.",Jackson,mens basketball,washington
3,Matisse Thybulle,"Issaquah, Wash.",Eastside Catholic,mens basketball,washington
4,Jaylen Nowell,"Seattle, Wash.",Garfield,mens basketball,washington
5,Nahziah Carter,"Rochester, N.Y.",Bishop Kearney,mens basketball,washington
6,Jason Crandall,"Issaquah, Wash.",Issaquah,mens basketball,washington
7,Hameir Wright,"Albany, N.Y.",Albany Academy,mens basketball,washington
8,Michael Carter III,"Seattle, Wash.",O'Dea,mens basketball,washington
9,Noah Dickerson,"Atlanta, Ga.",Montverde Academy (Fla.),mens basketball,washington
10,Dominic Green,"Renton, Wash.",Hazen,mens basketball,washington
11,Carlos Johnson,"Centralia, Ill.",Findlay Prep,mens basketball,washington
12,Greg Bowman,"Mountlake Terrace, Wash.",Mountlake Terrace,mens basketball,washington
13,Sam Timmins,"Dunedin, New Zealand",N/A,mens basketball,washington
14,Hannah Johnson,"Los Angeles, Calif.",Bishop Alemany,womens basketball,washington
15,Fapou Semebene,"Los Angeles, Calif.",Fairfax High School,womens basketball,washington
16,Mai-Loni Henson,"San Diego, Calif.",La Jolla Country Day,womens basketball,washington
17,Amber Melgoza,"Santa Barbara, Calif.",Santa Barbara,womens basketball,washington
18,Natalie Romeo,"Martinez, Calif.",Carondelet,womens basketball,washington
19,Kierra Collier,"Kansas City, Mo.",Truman High School,womens basketball,washington
20,Montana Hagstrom,"Bellevue, Wash.",Sammamish High School,womens basketball,washington
21,Khayla Rooks,"San Marcos, Calif.",Mission Hills High School,womens basketball,washington
22,Jenna Moser,"Colton, Wash.",Colton,womens basketball,washington
23,GiGi Garcia,"Sacramento, Calif.",C.K. McClatchy HS,womens basketball,washington
24,Deja Strother,"Kenmore, Wash.",Inglemoor,womens basketball,washington
25,Alexis Griggsby,"Northridge, Calif.",Sierra Canyon High School,womens basketball,washington
26,Mackenzie Wieburg,"Sammamish, Wash.",Issaquah,womens basketball,washington
27,Missy Peterson,"Edmonds, Wash.",Edmonds-Woodway High School,womens basketball,washington
28,KJ Brady,"Everett, Wash.",Cascade,baseball,washington
29,Nick  Roberts,"Silverdale, Wash.",Central Kitsap,baseball,washington
30,Jonathan Schiffer,"Irvine, Calif.",Mater Dei,baseball,washington
31,Christian Jones,"Federal Way, Wash.",Federal Way High School,baseball,washington
32,Mason  Cerrillo,"Auburn, Wash.",Auburn-Mountainview,baseball,washington
33,Braiden Ward,"Merced, Calif.",El Capitan,baseball,washington
34,Noah Hsue,"Mercer Island, Wash.",Mercer Island,baseball,washington
35,Willie MacIver,"Pleasant Hill, Calif.",College Park,baseball,washington
36,AJ Graffanino,"Wilmington, Del.","Northwest Christian (Peoria, Ariz.)",baseball,washington
37,Kaiser Weiss,"Oxnard, Calif.",Oxnard,baseball,washington
38,Nick  Kahle,"Simi Valley, Calif.",Chaminade High School,baseball,washington
39,Cole Eigenhuis,"Benicia, Calif.",Benecia,baseball,washington
40,Adam Davenport,"Duvall, Wash.",Cedarcrest,baseball,washington
41,Jordan Jones,"Kent, Wash.",Kentwood High School,baseball,washington
42,Josh Burgmann,"Nanaimo, Canada",Vauxhall Academy of Baseball,baseball,washington
43,Channing Nesbitt,"Oakland, Calif.",Bishop O'Dowd,baseball,washington
44,Ben Baird,"Agoura Hills, Calif.",Agoura,baseball,washington
45,Dylan Lamb,"Seattle, Wash.",Bishop Blanchet,baseball,washington
46,Joe DeMers,"Martinez, Calif.",College Park,baseball,washington
47,Jack Johnson,"Seattle, Wash.",Roosevelt,baseball,washington
48,Levi Jordan,"Puyallup, Wash.",Puyallup,baseball,washington
49,Michael  Petrie,"Mercer Island, Wash.",Mercer Island High School,baseball,washington
50,Chris Micheles,"Puyallup, Wash.",Puyallup High School,baseball,washington
51,Lucas Knowles,"Port Orchard, Wash.",South Kitsap,baseball,washington
52,Stevie Emanuels,"Bellevue, Wash.",Interlake,baseball,washington
53,Leo Nierenberg,"Oakland, Calif.",Bishop O'Dowd,baseball,washington
54,Brandon Leitgeb,"Portland, Ore.",Lincoln,baseball,washington
55,Harrison Goonewardene,"Mercer Island, Wash.",Mercer Island High School,baseball,washington
56,Blake Burton,"San Juan Capistrano, Calif.",Mater Dei,baseball,washington
57,Jack Enger,"Bellevue, Wash.",Bellevue,baseball,washington
58,Jack DeCooman,"North Vancouver, B.C.",Mulgrave,baseball,washington
59,Cole Galvagno,"Newcastle, Wash.",Eastside Catholic,baseball,washington
60,Casey Longaker,"Petaluma, Calif.",Casa Grande,baseball,washington
61,Joe  Wainhouse,"Kent, Wash.",Kentridge High School,baseball,washington
62,Alex Hardy,"Puyallup, Wash.",Emerald Ridge,baseball,washington
63,Byron Murphy,"Scottsdale, Ariz.",Saguaro,football,washington
64,Jake Browning,"Folsom, Calif.",Folsom,football,washington
65,Elijah Molden,"West Linn, Ore.",West Linn,football,washington
66,Austin Joyner,"Marysville, Wash.",Marysville-Pilchuck,football,washington
67,Andre Baccellia,"Thousand Oaks, Calif.",Westlake,football,washington
68,Myles Bryant,"Pasadena, Calif.",Loyola,football,washington
69,Chico McClatcher,"Federal Way, Wash.",Federal Way,football,washington
70,Taylor Rapp,"Bellingham, Wash.",Sehome,football,washington
71,Colson Yankoff,"Hayden, Idaho",Coeur d'Alene,football,washington
72,Benning Potoa'e,"DuPont, Wash.",Lakes,football,washington
73,Marquis Spiker,"Wildomar, Calif.",Murrieta Valley,football,washington
74,Myles Gaskin,"Lynnwood, Wash.",O'Dea,football,washington
75,Joe Tryon,"Renton, Wash.",Hazen,football,washington
76,Jacob Eason,"Lake Stevens, Wash.",Lake Stevens,football,washington
77,Ale Kaho,"Reno, Nev.",Reno,football,washington
78,Brandon McKinney,"Orange, Calif.",Orange Lutheran,football,washington
79,Jacob Sirmon,"Bothell, Wash.",Bothell,football,washington
80,Aaron Fuller,"McKinney, Texas",Lovejoy,football,washington
81,Jake Haener,"Danville, Calif.",Monte Vista,football,washington
82,Brandon Wellington,"Kent, Wash.",Eastside Catholic,football,washington
