,name,hometown,high school?,sport,college
0,Zion Griffin,"Darien, Ill.",Hinsdale South,mens basketball,iowa_state
1,Nick Weiler-Babb,"Arlington, Texas",Arlington Martin,mens basketball,iowa_state
2,Cameron Lard,"Natchitoches, La.",Pro Vision Academy,mens basketball,iowa_state
3,Marial Shayok,"Ottawa, Ontario",Blair Academy,mens basketball,iowa_state
4,George Conditt IV,"Chicago, Ill.",Corliss,mens basketball,iowa_state
5,Lindell Wigginton,"Dartmouth, Nova Scotia",Oak Hill Academy,mens basketball,iowa_state
6,Talen Horton-Tucker,"Chicago, Ill.",Simeon,mens basketball,iowa_state
7,Michael Jacobson,"Waukee, Iowa",Waukee,mens basketball,iowa_state
8,Prentiss Nixon,"Bolingbrook, Ill.",Bolingbrook,mens basketball,iowa_state
9,Tyrese Haliburton,"Oshkosh, Wis.",North,mens basketball,iowa_state
10,Zoran Talley Jr.,"Merrillville, Ind.",Merrillville/Don Bosco,mens basketball,iowa_state
11,Terrence Lewis,"Milwaukee, Wis.",Riverside,mens basketball,iowa_state
12,Eric Steyer,"Ames, Iowa",Ames,mens basketball,iowa_state
13,Solomon Young,"Sacramento, Calif.",Sacramento,mens basketball,iowa_state
14,Madison Wise,"Greenfield, Ind.",Greenfield Central,womens basketball,iowa_state
15,Rae Johnson,"Albertville, Minn.",St. Michael Albertville,womens basketball,iowa_state
16,Nia Washington,"Stafford, Va.",Riverdale Baptist High School,womens basketball,iowa_state
17,Jade Thurmon,"Lancaster, Texas",Kilgore College,womens basketball,iowa_state
18,Adriana Camber,"Lund, Sweden",Katedralskolan Lund,womens basketball,iowa_state
19,Lauren Mills,"Hobart, Tasmania, Austrailia",Rosny College,womens basketball,iowa_state
20,Bridget Carleton,"Chatham, Ontario, Canada",John McGregor Secondary,womens basketball,iowa_state
21,Maddie Frederick,"Tipp City, Ohio",Tippecanoe High School,womens basketball,iowa_state
22,Ashley Joens,"Iowa City, Iowa",City High School,womens basketball,iowa_state
23,Kristin Scott,"Kasson, Minn.",Kasson-Mantorville,womens basketball,iowa_state
24,Morgan Kane,"West Jordan, Utah",Riverton High School,womens basketball,iowa_state
25,Meredith Burkhall,"Urbandale, Iowa",Roosevelt,womens basketball,iowa_state
26,Alexa Middleton,"Murfreesboro, Tenn.",Riverdale,womens basketball,iowa_state
27,D'Andre Payne,"Washington, D.C.",HD Woodson,football,iowa_state
28,Willie Harvey,"Hastings, Fla.",Menendez,football,iowa_state
29,Mike Warren,"Lawton, Okla.",Lawton,football,iowa_state
30,JaQuan Bailey,"Jacksonville, Fla.",Raines,football,iowa_state
31,Kene Nwangwu,"Frisco, Texas",Heritage,football,iowa_state
32,Arnold Azunna,"Grand Prairie, Texas",Lake Ridge,football,iowa_state
33,Zeb Noland,"Watkinsville, Ga.",Oconee County,football,iowa_state
34,Re-al Mitchell,"Eastvale, Calif.",St. John Bosco,football,iowa_state
35,De'Monte Ruth,"Dallas, Texas",Wilmer-Hutchins,football,iowa_state
36,Deshaunte Jones,"Cincinnati, Ohio",Colerain,football,iowa_state
37,Reggan Northrup,"Jacksonville, Fla.",First Coast,football,iowa_state
38,Joseph Scates,"Dayton, Ohio",Dunbar,football,iowa_state
39,Blake Clark,"West Des Moines, Iowa",Dowling Catholic,football,iowa_state
40,Brian Peavy,"Houston, Texas",Westfield,football,iowa_state
41,Chase Allen,"Nixa, Mo.",Nixa,football,iowa_state
42,Lawrence White,"Bakersfield, Calif.",Ridgeview,football,iowa_state
43,Greg Eisworth,"Grand Prairie, Texas",South,football,iowa_state
44,Devon Moore,"Waterloo, Iowa",West,football,iowa_state
45,Corey Dunn,"Numurkah, Australia",Numurkah,football,iowa_state
46,Josh Johnson,"Little Rock, Ark.",Central Arkansas Christian,football,iowa_state
47,Jaeveyon Morton,"Detroit, Mich.",Martin Luther King,football,iowa_state
48,Tarique Milton,"Bradenton, Fla.",Manatee,football,iowa_state
49,Brock Purdy,"Gilbert, Ariz.",Perry,football,iowa_state
50,Dallas Taylor-Cortez,"Woodland Hills, Calif.",Chaminade,football,iowa_state
51,Keontae Jones,"Cincinnati, Ohio",Colerain,football,iowa_state
52,Carson Schleker,"Allen, Texas",Allen,football,iowa_state
53,Shane Starcevich,"Altoona, Iowa",Southeast Polk,football,iowa_state
54,Richard Bowens III,"Detroit, Mich.",St. Mary's,football,iowa_state
55,Kyle Kempt,"Massillon, Ohio",Washington,football,iowa_state
56,Cordarrius Bailey,"Clarksdale, Miss.",Clarksdale,football,iowa_state
57,Hakeem Butler,"Baltimore, Md.",Travis {Texas},football,iowa_state
58,Beau Coberley,"Nevada, Iowa",West Marshall,football,iowa_state
59,Aaron Austin,"Walnut, Calif.",Bishop Amat,football,iowa_state
